Vp,Vg,Ia
38.622,-2.0,0.446
41.277,-2.0,0.5418
41.591,-2.0,0.5557
44.317,-2.0,0.7061
46.589,-2.0,0.8528
46.76,-2.0,0.8643
50.267,-2.0,1.1061
52.401,-2.0,1.252
52.755,-2.0,1.2756
55.882,-2.0,1.4811
57.699,-2.0,1.6087
59.008,-2.0,1.7087
60.352,-2.0,1.817
61.496,-2.0,1.9116
62.958,-2.0,2.0335
64.453,-2.0,2.1573
66.963,-2.0,2.3762
67.37,-2.0,2.4141
67.92,-2.0,2.4668
70.068,-2.0,2.6826
71.272,-2.0,2.8062
71.832,-2.0,2.8634
73.671,-2.0,3.0472
74.04,-2.0,3.0829
75.117,-2.0,3.1835
76.543,-2.0,3.3119
78.775,-2.0,3.5134
78.786,-2.0,3.5145
79.644,-2.0,3.597
82.162,-2.0,3.8653
83.741,-2.0,4.0462
84.526,-2.0,4.1367
85.423,-2.0,4.2389
86.159,-2.0,4.3219
87.445,-2.0,4.4673
87.458,-2.0,4.4688
88.595,-2.0,4.6
89.379,-2.0,4.6926
91.985,-2.0,5.0056
92.807,-2.0,5.1041
93.179,-2.0,5.1482
94.304,-2.0,5.2801
94.915,-2.0,5.3507
95.022,-2.0,5.3629
97.419,-2.0,5.6327
98.304,-2.0,5.7303
99.253,-2.0,5.8372
99.935,-2.0,5.9177
101.103,-2.0,6.0662
101.74,-2.0,6.1531
103.316,-2.0,6.3752
105.355,-2.0,6.6503
105.477,-2.0,6.6656
105.903,-2.0,6.7176
107.034,-2.0,6.848
109.081,-2.0,7.076
110.103,-2.0,7.1968
110.328,-2.0,7.2249
111.463,-2.0,7.3725
111.486,-2.0,7.3756
112.945,-2.0,7.5754
113.892,-2.0,7.706
114.69,-2.0,7.8132
114.776,-2.0,7.8245
116.169,-2.0,7.9989
116.799,-2.0,8.0752
118.033,-2.0,8.234
118.83,-2.0,8.3577
119.271,-2.0,8.4319
120.35,-2.0,8.5996
120.753,-2.0,8.6532
