x,Ec=0V,Ec=-1V,Ec=-2V,Ec=-3V,Ec=-4V,Ec=-5V,Ec=-6V,Ec=-7V,Ec=-8V,Ec=-9V,Ec=-10V,Ec=-11V,Ec=-12V,Ec=-13V,Ec=-14V,Ec=-15V,Ec=-16V
228.295,,,,,,,,,,,,,,21.946,,,
228.52,,,,,,,,,,,,44.069,,,,,
229.034,,,,,,,,,,,,,32.04,,,,
229.892,,,,,,,,,,,,,,,,,4.546
230.042,,,,,,,,,,,,45.096,,,,,
230.169,,,,,,,,,,,,,,,13.724,,
230.182,,,,,,,,,,,,,,,,7.691,
231.813,,,,,,,,,,,,,,24.009,,,
231.875,,,,,,,,,,,,,34.015,,,,
234.35,,,,,,,,,,,,,,,15.951,,
234.692,,,,,,,,,,,,,36.034,,,,
234.97,,,,,,,,,,,,,,25.929,,,
235.065,,,,,,,,,,,,,,,,,5.362
235.144,,,,,,,,,,,,,,,,9.264,
237.395,,,,,,,,,,,,,38.08,,,,
237.832,,,,,,,,,,,,,,27.975,,,
238.192,,,,,,,,,,,,,,,17.998,,
239.754,,,,,,,,,,,,,,,,,6.202
239.81,,,,,,,,,,,,,,,,11.49,
240.103,,,,,,,,,,,,,39.857,,,,
241.056,,,,,,,,,,,,,,30.003,,,
241.636,,,,,,,,,,,,,,,19.979,,
244.301,,,,,,,,,,,,,,32.057,,,
244.842,,,,,,,,,,,,,,,,13.83,
245.053,,,,,,,,,,,,,,,21.959,,
245.061,,,,,,,,,,,,,,,,,7.583
247.163,,,,,,,,,,,,,,34.049,,,
248.41,,,,,,,,,,,,,,,24.007,,
248.939,,,,,,,,,,,,,,,,16.012,
249.829,,,,,,,,,,,,,,35.701,,,
249.937,,,,,,,,,,,,,,,,,9.053
251.342,,,,,,,,,,,,,,,25.977,,
252.743,,,,,,,,,,,,,,,,,10.054
252.87,,,,,,,,,,,,,,,,17.969,
254.302,,,,,,,,,,,,,,,27.98,,
255.235,,,,,,,,,,,,,,,,,11.031
256.426,,,,,,,,,,,,,,,,20.039,
257.33,,,,,,,,,,,,,,,,,11.942
257.49,,,,,,,,,,,,,,,30.017,,
260.07,,,,,,,,,,,,,,,,,13.247
260.137,,,,,,,,,,,,,,,31.874,,
260.213,,,,,,,,,,,,,,,,21.963,
261.628,,,,,,,,,,,,,,,,,14.034
263.514,,,,,,,,,,,,,,,,23.921,
265.075,,,,,,,,,,,,,,,,,15.699
266.817,,,,,,,,,,,,,,,,25.957,
269.398,,,,,,,,,,,,,,,,,17.993
270.088,,,,,,,,,,,,,,,,27.972,
273.047,,,,,,,,,,,,,,,,30.065,
273.101,,,,,,,,,,,,,,,,,19.94
276.371,,,,,,,,,,,,,,,,,22.01
278.941,,,,,,,,,,,,,,,,,23.507
282.922,,,,,,,,,,,,,,,,,25.932
285.072,,,,,,,,,,,,,,,,,27.29
