x,Ec=0V,Ec=-2V,Ec=-4V,Ec=-6V,Ec=-8V,Ec=-10V,Ec=-12V,Ec=-14V,Ec=-16V,Ec=-18V,Ec=-20V
274,,,,,,14.627,3.936,0.816,-0.05,,
275,,,,,,14.905,4.102,0.864,-0.025,,
276,,,,,,15.216,4.268,0.915,0.006,,
277,,,,,,15.565,4.429,0.967,0.039,,
278,,,,,,15.95,4.586,1.021,0.07,,
279,,,,,,16.375,4.741,1.074,0.098,,
280,,,,,,16.824,4.9,1.129,0.121,,
281,,,,,,17.261,5.062,1.184,0.141,,
282,,,,,,17.664,5.229,1.24,0.16,,
283,,,,,,18.035,5.398,1.298,0.18,,
284,,,,,,18.377,5.57,1.357,0.202,,
285,,,,,,18.701,5.745,1.418,0.23,,
286,,,,,,19.021,5.923,1.483,0.266,,
287,,,,,,19.35,6.105,1.551,0.306,,
288,,,,,,19.702,6.294,1.622,0.344,,
289,,,,,,20.099,6.497,1.697,0.377,,
290,,,,,,20.542,6.725,1.775,0.406,,
291,,,,,,21.005,6.979,1.855,0.432,,
292,,,,,,21.444,7.243,1.935,0.458,,
293,,,,,,21.844,7.51,2.014,0.484,-0.097,
294,,,,,,22.2,7.778,2.093,0.511,-0.095,
295,,,,,,22.531,8.048,2.173,0.54,-0.092,
296,,,,,,22.879,8.318,2.253,0.572,-0.089,
297,,,,,,23.285,8.589,2.334,0.607,-0.085,
298,,,,,,23.751,8.861,2.416,0.644,-0.078,
299,,,,,,24.233,9.134,2.5,0.683,-0.069,
300,,,,,,24.681,9.409,2.585,0.722,-0.058,
301,,,,,,25.09,9.688,2.672,0.759,-0.045,
302,,,,,,25.477,9.969,2.761,0.795,-0.031,
303,,,,,,25.855,10.252,2.854,0.827,-0.018,
304,,,,,,26.233,10.535,2.949,0.856,-0.004,
305,,,,,,26.612,10.819,3.049,0.884,0.009,
306,,,,,,27.001,11.102,3.154,0.911,0.022,
307,,,,,,27.404,11.382,3.264,0.939,0.035,
308,,,,,,27.83,11.656,3.381,0.969,0.049,
309,,,,,,,11.915,3.503,1.001,0.063,
310,,,,,,,12.15,3.63,1.037,0.078,
311,,,,,,,12.404,3.761,1.078,0.094,
312,,,,,,,12.714,3.893,1.125,0.11,
313,,,,,,,13.054,4.025,1.177,0.126,
314,,,,,,,13.408,4.155,1.235,0.144,
315,,,,,,,13.771,4.282,1.296,0.162,-0.121
316,,,,,,,14.139,4.406,1.359,0.18,-0.126
317,,,,,,,14.497,4.532,1.423,0.2,-0.13
318,,,,,,,14.826,4.66,1.486,0.221,-0.131
319,,,,,,,15.123,4.797,1.548,0.243,-0.129
320,,,,,,,15.401,4.949,1.607,0.268,-0.126
321,,,,,,,15.675,5.127,1.664,0.293,-0.122
322,,,,,,,15.956,5.326,1.718,0.317,-0.116
323,,,,,,,16.256,5.523,1.771,0.34,-0.11
324,,,,,,,16.607,5.707,1.823,0.36,-0.102
325,,,,,,,17.022,5.877,1.875,0.378,-0.094
326,,,,,,,17.441,6.041,1.928,0.393,-0.084
327,,,,,,,17.821,6.204,1.983,0.408,-0.074
328,,,,,,,18.172,6.37,2.04,0.422,-0.063
329,,,,,,,18.51,6.541,2.099,0.435,-0.051
330,,,,,,,18.843,6.722,2.162,0.449,-0.038
331,,,,,,,19.176,6.914,2.229,0.462,-0.025
332,,,,,,,19.515,7.122,2.299,0.476,-0.011
333,,,,,,,19.87,7.344,2.373,0.491,0.004
334,,,,,,,20.26,7.58,2.45,0.506,0.019
335,,,,,,,20.697,7.826,2.529,0.524,0.034
336,,,,,,,21.151,8.081,2.61,0.544,0.05
337,,,,,,,21.595,8.339,2.693,0.566,0.066
338,,,,,,,22.038,8.609,2.778,0.593,0.082
339,,,,,,,22.493,8.917,2.863,0.623,0.098
340,,,,,,,22.963,9.298,2.948,0.657,0.114
341,,,,,,,23.426,9.643,3.034,0.695,0.13
342,,,,,,,23.881,9.91,3.121,0.736,0.146
343,,,,,,,24.333,10.146,3.21,0.779,0.162
344,,,,,,,24.79,10.373,3.302,0.825,0.177
345,,,,,,,,10.609,3.397,0.872,0.191
346,,,,,,,,10.863,3.499,0.921,0.205
347,,,,,,,,11.129,3.608,0.971,0.218
348,,,,,,,,11.399,3.73,1.023,0.23
349,,,,,,,,11.671,3.869,1.076,0.243
350,,,,,,,,11.946,4.024,1.13,0.257
351,,,,,,,,12.225,4.189,1.185,0.273
352,,,,,,,,12.511,4.353,1.239,0.291
353,,,,,,,,12.807,4.505,1.293,0.312
354,,,,,,,,13.119,4.641,1.347,0.333
355,,,,,,,,13.454,4.767,1.399,0.355
356,,,,,,,,13.82,4.889,1.449,0.377
357,,,,,,,,14.194,5.01,1.498,0.399
358,,,,,,,,14.538,5.133,1.545,0.42
359,,,,,,,,14.839,5.262,1.592,0.441
360,,,,,,,,15.115,5.402,1.641,0.461
361,,,,,,,,15.383,5.555,1.693,0.479
362,,,,,,,,15.655,5.72,1.752,0.498
363,,,,,,,,15.944,5.897,1.816,0.516
364,,,,,,,,16.256,6.081,1.886,0.533
365,,,,,,,,16.586,6.27,1.959,0.551
366,,,,,,,,16.925,6.462,2.034,0.569
367,,,,,,,,17.259,6.657,2.111,0.587
368,,,,,,,,17.583,6.854,2.187,0.606
369,,,,,,,,17.906,7.053,2.265,0.626
370,,,,,,,,18.241,7.255,2.343,0.648
371,,,,,,,,18.61,7.459,2.423,0.67
372,,,,,,,,19.013,7.667,2.505,0.693
373,,,,,,,,19.419,7.876,2.59,0.717
374,,,,,,,,19.841,8.082,2.679,0.741
375,,,,,,,,20.296,8.281,2.769,0.765
376,,,,,,,,20.751,8.474,2.859,0.789
377,,,,,,,,21.146,8.665,2.947,0.813
378,,,,,,,,21.462,8.859,3.031,0.836
379,,,,,,,,21.734,9.06,3.11,0.859
380,,,,,,,,21.993,9.274,3.183,0.88
381,,,,,,,,22.336,9.509,3.255,0.902
382,,,,,,,,,9.762,3.328,0.922
383,,,,,,,,,10.019,3.406,0.942
384,,,,,,,,,10.26,3.493,0.961
385,,,,,,,,,10.479,3.593,0.98
386,,,,,,,,,10.688,3.708,0.998
387,,,,,,,,,10.896,3.834,1.017
388,,,,,,,,,11.113,3.967,1.035
389,,,,,,,,,11.341,4.101,1.053
390,,,,,,,,,11.577,4.225,1.071
391,,,,,,,,,11.817,4.341,
391.792,,,,,,,,,,4.428,
